NHDPlusID,GL_pass
60001300000001,1
60001300000007,1
60001300000051,0
60001300000080,1
60001300000086,1
60001300000107,1
60001300000108,1
60001300000119,1
60001300000120,1
60001300000138,1
60001300000148,1
60001300000163,1
60001300000210,1
60001300000165,1
60001300000183,1
60001300000195,1
60001300000215,1
60001300012241,1
60001300012261,1
60001300012263,1
60001300012267,1
60001300012284,1
60001300012288,1
60001300012292,1
60001300012297,1
60001300012300,1
60001300012301,1
60001300012322,1
60001300012332,1
60001300012346,1
60001300012347,1
60001300012351,1
60001300012354,1
60001300012369,1
60001300012380,1
60001300000216,1
60001300000219,1
60001300000246,1
60001300000252,1
60001300000254,1
60001300000258,1
60001300000285,1
60001300000289,1
60001300000310,1
60001300000314,1
60001300000315,1
60001300000326,1
60001300000327,1
60001300000331,1
60001300000348,1
60001300000351,1
60001300000353,1
60001300000354,1
60001300000500,1
60001300000501,1
60001300000503,1
60001300000515,1
60001300000524,1
60001300000526,1
60001300000373,1
60001300000395,1
60001300000397,1
60001300000423,1
60001300000440,1
60001300000446,1
60001300000450,1
60001300000463,1
60001300000477,1
60001300000485,1
60001300000492,1
60001300000556,1
60001300000571,1
60001300000586,1
60001300000590,1
60001300000593,1
60001300000602,1
60001300000613,1
60001300000621,1
60001300000622,1
60001300000623,1
60001300000624,1
60001300000642,1
60001300000547,1
60001300000552,1
60001300000648,1
60001300000660,1
60001300000676,1
60001300000677,1
60001300000681,1
60001300000684,1
60001300000688,1
60001300000696,1
60001300000719,1
60001300000724,1
60001300000736,1
60001300000738,1
60001300000743,1
60001300000745,1
60001300000751,1
60001300000765,1
60001300000766,1
60001300000776,1
60001300000792,1
60001300000793,1
60001300000798,1
60001300000801,1
60001300000808,1
60001300001398,1
60001300001405,1
60001300001411,1
60001300001413,1
60001300001414,1
60001300001415,1
60001300001421,1
60001300001425,1
60001300001434,1
60001300001435,1
60001300001437,1
60001300001441,1
60001300001448,1
60001300001449,1
60001300001451,1
60001300001465,1
60001300001468,1
60001300001470,1
60001300001476,1
60001300001478,1
60001300001493,1
60001300001495,1
60001300001496,1
60001300001501,1
60001300001505,1
60001300001508,1
60001300001511,1
60001300001515,1
60001300001523,1
60001300001525,1
60001300001534,1
60001300001539,1
60001300001589,1
60001300001596,1
60001300001598,1
60001300001608,1
60001300001615,1
60001300001619,1
60001300001625,1
60001300001627,1
60001300001643,1
60001300001647,1
60001300001656,1
60001300001667,1
60001300001668,1
60001300001690,1
60001300012614,1
60001300012620,1
60001300012632,1
60001300012641,1
60001300012651,1
60001300012685,1
60001300012698,1
60001300012720,1
60001300012722,1
60001300012741,1
60001300012382,1
60001300012393,1
60001300012396,1
60001300012417,1
60001300012419,1
60001300012421,1
60001300012433,1
60001300012443,1
60001300012449,1
60001300012452,1
60001300012456,1
60001300012463,1
60001300012483,1
60001300012490,1
60001300012505,1
60001300012514,1
60001300012537,1
60001300012539,1
60001300012541,1
60001300012547,1
60001300012563,1
60001300012572,1
60001300012580,1
60001300012582,1
60001300012595,1
60001300012605,1
60001300024283,1
60001300024286,1
60001300024290,1
60001300024298,1
60001300024176,1
60001300024190,1
60001300024198,1
60001300024210,1
60001300024213,1
60001300024224,1
60001300024225,1
60001300024229,1
60001300024243,1
60001300024251,1
60001300024255,1
60001300024256,1
60001300024278,1
60001300024281,1
60001300024282,1
60001300024497,1
60001300024512,1
60001300024513,1
60001300024519,1
60001300024526,1
60001300024538,1
60001300024541,1
60001300024499,1
60001300024504,1
60001300024546,1
60001300024551,1
60001300024552,1
60001300024554,1
60001300024567,1
60001300024573,1
60001300024586,1
60001300024589,1
60001300024590,1
60001300024595,1
60001300024304,1
60001300024307,1
60001300024309,1
60001300024314,1
60001300024341,1
60001300024345,1
60001300024355,1
60001300024360,1
60001300024363,1
60001300024368,1
60001300024373,1
60001300024377,1
60001300024381,1
60001300024385,1
60001300024408,1
60001300024414,1
60001300024424,1
60001300024457,1
60001300024463,1
60001300024470,1
60001300024471,1
60001300024477,1
60001300024479,1
60001300024491,1
60001300024601,1
60001300024606,1
60001300024629,1
60001300024653,1
60001300024862,1
60001300024752,1
60001300024753,1
60001300024755,1
60001300024758,1
60001300024763,1
60001300024770,1
60001300024786,1
60001300024659,1
60001300024663,1
60001300024691,1
60001300024741,1
60001300024797,1
60001300024816,1
60001300024830,1
60001300024832,1
60001300024837,1
60001300024843,1
60001300024877,1
60001300024893,1
60001300024897,1
60001300024899,1
60001300024901,1
60001300024884,1
60001300024888,1
60001300024889,1
60001300024945,1
